School No.,School Name,County,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017
B246,Our Lady of Grace School,Hamilton,*,20,41,54,73,56
C025,Our Lady Of Grace School,Lake,14,38,69,91,82,90
D250,Our Lady Of Hungary School,St Joseph,65,111,150,156,170,179
C605,Our Lady Of Lourdes School,Marion,23,39,83,101,99,99
B060,Our Lady Of Perpetual School,Floyd,12,18,45,83,79,71
A575,Our Lady Of Providence High School,Clark,*,15,33,95,108,107
B535,Our Lady Of The Greenwood School,Johnson,11,46,105,112,127,140
A106,Our Lady School,Allen,#N/A,#N/A,#N/A,-,-,102
C512,Our Shepherd Lutheran School,Hendricks,*,16,24,40,57,52
B167,Paddock View Residential Center,Grant,20,26,27,*,-,-
C899,Pinnacle School,Monroe,11,30,67,89,15,*
B510,Pope John XXIII School,Jefferson,*,27,82,135,148,153
D080,Portage Christian School,Porter,-,-,49,194,238,267
A870,Precious Blood School,Dubois,*,*,15,30,-,-
C791,Project Libertas,Marion,-,-,45,54,67,60
C623,Providence Cristo Rey High School,Marion,65,105,159,195,232,246
C110,Queen Of All Saints School,LaPorte,38,45,83,92,88,99
A135,Queen Of Angels School,Allen,19,67,110,121,122,128
D198,Queen of Peace School,St Joseph,*,25,56,88,96,96
B367,Redeemer Lutheran School,Howard,*,*,12,24,45,49
D535,Reitz Memorial High School,Vanderburgh,13,30,47,161,176,193
D317,Resurrection Lutheran Academy,St Joseph,#N/A,#N/A,#N/A,-,-,18
D610,Resurrection School,Vanderburgh,*,*,39,73,73,87
D860,Richmond Academy,Wayne,14,17,18,33,49,44
B560,Rivet Middle & High School,Knox,*,*,19,46,48,47
C320,Roncalli High School,Marion,22,51,119,279,347,342
A470,Sacred Heart School,Benton,-,*,18,30,40,45
A570,Sacred Heart School,Clark,18,42,77,99,107,99
B605,Sacred Heart School,Kosciusko,*,17,38,51,62,46
D255,Saint Adalbert School,St Joseph,46,86,160,191,198,198
A270,Saint Aloysius Catholic School,Allen,*,16,50,57,62,51
B440,Saint Ambrose School,Jackson,*,*,27,55,62,67
C205,Saint Ambrose School,Madison,13,22,42,63,67,-
C615,Saint Anthony Catholic School,Marion,-,-,-,-,186,200
D260,Saint Anthony De Padua School,St Joseph,32,47,91,143,146,134
A560,Saint Anthony School,Clark,10,22,69,133,158,179
B475,Saint Augustine School,Jasper,*,13,24,28,28,26
C295,Saint Barnabas School,Marion,*,13,41,85,115,128
A425,Saint Bartholomew School,Bartholomew,-,*,37,83,99,122
D590,Saint Benedict Cathedral School,Vanderburgh,*,10,61,86,77,84
D805,Saint Bernard Elementary School,Wabash,*,*,21,27,32,47
D370,Saint Bernard School,Spencer,21,29,48,68,68,80
D420,Saint Boniface School,Tippecanoe,*,13,38,63,58,62
C040,Saint Bridget School,Lake,*,-,-,-,-,-
B950,Saint Casimir School,Lake,35,91,202,287,308,330
C900,Saint Charles Borromeo School,Monroe,-,15,25,30,39,40
A145,Saint Charles Borromeo School,Allen,24,91,233,361,408,389
C795,Saint Christopher School,Marion,*,21,59,92,100,96
B800,Saint Edward School,Lake,*,-,-,-,-,-
D840,Saint Elizabeth Ann Seton School,Wayne,10,51,98,147,136,155
B035,Saint Gabriel Parochial School,Fayette,*,*,28,62,64,78
D435,Saint James Lutheran School,Tippecanoe,*,16,36,62,67,54
B120,Saint James School,Gibson,-,*,27,57,68,70
C645,Saint Joan Of Arc School,Marion,40,68,109,146,160,177
B960,Saint John Bosco School,Lake,36,83,138,167,163,167
A695,Saint John Evangelical Lutheran School,Dearborn,#N/A,#N/A,#N/A,-,-,19
C400,Saint John Evangelical Lutheran School,Marion,11,16,29,55,68,69
B020,Saint John Evangelist School,Elkhart,*,21,53,85,83,92
B780,Saint John Evangelist School,Lake,-,*,12,32,35,34
B275,Saint John Lutheran School,Harrison,-,-,12,24,29,25
B450,Saint John Lutheran School,Jackson,-,-,-,-,10,*
C150,Saint John Lutheran School,LaPorte,*,*,16,37,52,57
C985,Saint John Lutheran School,Noble,10,27,51,71,78,75
A355,Saint John The Baptist Catholic School,Allen,*,34,119,160,170,132
A150,Saint John The Baptist School,Allen,20,50,144,153,169,158
B965,Saint John The Baptist School,Lake,12,18,66,76,81,96
D265,Saint John The Baptist School,St Joseph,27,51,70,61,66,68
D465,Saint John The Baptist School,Tippecanoe,*,12,25,-,-,-
D815,Saint John The Baptist School,Warrick,*,*,35,68,71,89
A365,Saint John-Emmanuel Lutheran School,Allen,-,-,*,41,51,53
A340,Saint Joseph Catholic School,Allen,12,*,18,40,45,47
A350,Saint Joseph Hessen Cassel Catholic School,Allen,*,14,26,51,57,56
A035,Saint Joseph School,Adams,*,35,106,164,167,171
A735,Saint Joseph School,Dekalb,*,13,27,37,40,37
B105,Saint Joseph School,Gibson,*,*,36,64,52,64
B280,Saint Joseph School,Harrison,-,*,16,34,30,40
C145,Saint Joseph School,LaPorte,*,-,-,-,-,-
D270,Saint Joseph School,St Joseph,*,*,36,56,82,91
D335,Saint Joseph School,Shelby,*,17,32,41,43,42
D605,Saint Joseph School,Vanderburgh,*,*,27,33,31,38
D225,Saint Joseph's High School,St Joseph,13,32,87,205,238,288
A155,Saint Joseph-Saint Elizabeth Campus I,Allen,*,20,54,73,119,139
A104,Saint Joseph-Saint Elizabeth Campus II,Allen,*,31,88,150,178,197
D275,Saint Jude Catholic School,St Joseph,17,37,72,104,111,117
A160,Saint Jude Elementary School,Allen,28,86,207,274,304,303
C300,Saint Jude Elementary School,Marion,*,18,56,102,129,137
D425,Saint Lawrence Elementary School,Tippecanoe,*,21,48,75,77,100
A700,Saint Lawrence School,Dearborn,-,*,*,*,30,37
A790,Saint Lawrence School,Delaware,*,15,29,34,33,25
C280,Saint Lawrence School,Marion,43,92,177,201,167,158
A360,Saint Louis Besancon Catholic School,Allen,*,16,39,68,65,63
D130,Saint Louis School,Ripley,-,10,52,93,96,87
C435,Saint Luke School,Marion,*,10,41,69,90,100
B285,Saint Malachy School,Hendricks,*,23,57,109,131,124
C305,Saint Mark School,Marion,27,47,81,100,100,145
D430,Saint Mary Cathedral School,Tippecanoe,10,35,68,78,83,75
B835,Saint Mary Catholic Community School,Lake,20,38,78,98,110,108
C980,Saint Mary Elementary School,Noble,*,10,24,47,53,57
D140,Saint Mary Elementary School,Rush,*,17,43,48,61,54
B067,Saint Mary of-the-Knobs Catholic School,Floyd,-,*,*,13,19,24
A690,Saint Mary School,Dearborn,*,19,31,46,48,53
A730,Saint Mary School,Decatur,-,*,*,11,14,23
A795,Saint Mary School,Delaware,11,15,29,53,52,55
B515,Saint Mary School,Jennings,*,17,53,70,69,65
B930,Saint Mary School,Lake,23,56,100,113,119,132
C190,Saint Mary School,Madison,*,10,29,43,49,45
C210,Saint Mary School,Madison,16,44,105,124,99,-
B065,Saint Mary's Catholic School,Floyd,*,11,-,-,-,-
D285,Saint Matthew Cathedral School,St Joseph,32,69,197,246,255,258
C440,Saint Matthew School,Marion,*,30,52,87,113,131
D095,Saint Matthew School,Posey,-,*,14,18,15,18
B095,Saint Michael School,Franklin,*,*,18,20,23,31
B265,Saint Michael School,Hancock,*,*,41,65,57,52
B775,Saint Michael School,Lake,*,*,16,20,21,25
C855,Saint Michael School,Marshall,*,33,56,63,77,74
C650,Saint Michael The Archangel School,Marion,61,122,214,230,260,279
C445,Saint Monica School,Marion,37,59,133,179,200,200
A680,Saint Nicholas School,Ripley,#N/A,#N/A,#N/A,-,-,*
D050,Saint Patrick School,Porter,*,-,-,*,*,12
D720,Saint Patrick School,Vigo,18,44,99,128,150,140
A685,Saint Paul Catholic School,Dearborn,-,*,19,40,47,43
D085,Saint Paul Catholic School,Porter,-,-,-,*,*,16
A245,Saint Paul Lutheran School,Allen,12,41,83,116,120,125
C130,Saint Paul Lutheran School,LaPorte,-,13,38,63,72,90
B155,Saint Paul Parish School,Grant,*,23,52,66,58,57
A550,Saint Paul School,Clark,-,*,14,42,50,49
C065,Saint Paul's Lutheran School,Lake,-,*,18,19,36,37
A040,Saint Peter Immanuel Lutheran School,Adams,-,*,10,16,17,18
A435,Saint Peter Lutheran School,Bartholomew,*,*,*,-,66,122
D375,Saint Peter Lutheran School,Starke,*,*,11,39,58,57
A250,Saint Peter's Lutheran School,Allen,-,19,74,111,120,124
C655,Saint Philip Neri School,Marion,46,76,177,205,219,210
D100,Saint Philip School,Posey,*,*,23,29,31,31
D164,Saint Pius X Catholic School,St Joseph,*,23,55,76,91,94
C450,Saint Pius X School,Marion,*,*,22,46,54,50
C310,Saint Roch School,Marion,16,26,54,74,95,103
B518,Saint Rose of Lima School,Johnson,*,25,59,72,76,94
C665,Saint Simon The Apostle School,Marion,*,11,12,24,35,48
C120,Saint Stanislaus Kostka School,LaPorte,32,51,89,113,102,84
B865,Saint Stanislaus School,Lake,72,114,170,126,153,166
B300,Saint Susanna School,Hendricks,*,17,46,57,54,50
D615,Saint Theresa School,Vanderburgh,16,31,57,43,-,-
C670,Saint Therese Little Flower School,Marion,53,94,158,175,177,224
A175,Saint Therese School,Allen,32,51,103,133,169,158
C675,Saint Thomas Aquinas School,Marion,*,*,25,45,54,48
C060,Saint Thomas More School,Lake,*,15,26,36,61,72
A975,Saint Thomas The Apostle School,Elkhart,13,33,69,83,89,86
A180,Saint Vincent DePaul School,Allen,*,51,158,197,231,256
A980,Saint Vincent DePaul School,Elkhart,23,58,92,73,139,147
C160,Saint Vincent DePaul School,Lawrence,*,37,63,89,91,76
D105,Saint Wendel School,Posey,*,-,*,22,31,37
B540,Saints Francis and Clare Catholic School,Johnson,*,27,61,98,101,106
B395,Saints Joan of Arc & Patrick School,Howard,*,22,80,147,152,150
B125,Saints Peter & Paul School,Gibson,-,-,*,*,*,*
C710,Scecina Memorial School,Marion,40,85,204,274,300,311
D842,Seton Catholic High School,Wayne,*,17,39,59,76,80
B455,Seymour Christian Academy,Jackson,-,-,31,67,79,86
B505,Shawe Memorial High School,Jefferson,*,*,27,75,80,71
D195,South Bend Hebrew Day School,St Joseph,-,10,44,71,78,82
D300,South Bend Junior Academy School,St Joseph,*,*,13,18,18,20
C349,Southport Presbyterian Christian School,Marion,*,13,18,25,24,26
B928,Spirit of God Accelerated School,Lake,-,*,63,98,82,41
A200,Suburban Bethlehem Lutheran School,Allen,-,23,44,71,77,84
C325,Suburban Christian School,Marion,-,-,-,25,118,145
C940,Tabernacle Christian Schools,Morgan,-,-,47,150,172,212
D748,Terre Haute Seventh Day Adventist School,Vigo,*,*,12,13,13,14
C589,The Independence Academy,Marion,-,*,10,*,10,14
B136,The King's Academy,Grant,*,27,71,102,141,149
C773,The Oaks Academy,Marion,-,85,165,216,179,175
B297,The Oaks Academy - Brookside,Marion,-,*,45,94,110,115
C774,The Oaks Academy - Middle School,Marion,-,-,-,-,65,83
C918,The Prep School,Monroe,-,-,15,16,-,-
D458,Tippecanoe Christian School,Tippecanoe,*,-,-,-,-,-
B293,Todd Academy,Marion,-,*,16,28,-,-
C699,TP Schools,Marion,-,29,121,162,99,76
C375,Traders Point Christian Academy,Boone,15,48,95,140,167,225
C561,Trinity Christian School,Marion,57,86,190,198,195,177
B901,Trinity Educational Daycare & Academy,Lake,-,37,69,67,31,-
B452,Trinity Lutheran High School,Jackson,-,-,*,59,56,51
B850,Trinity Lutheran School,Lake,*,17,26,63,67,88
C050,Trinity Lutheran School,Lake,10,23,18,19,21,27
C395,Trinity Lutheran School,Marion,24,45,82,115,84,51
D217,Trinity School At Greenlawn,St Joseph,-,23,29,59,62,67
D907,TROY Center,Whitley,-,12,14,22,23,30
B241,University High School of Indiana,Hamilton,*,*,*,12,14,-
D073,Victory Christian Academy,Porter,25,47,90,135,153,160
B600,Warsaw Christian School,Kosciusko,-,11,49,81,104,119
A665,Washington Catholic Elementary School,Daviess,22,54,102,122,114,125
A660,Washington Catholic Middle/High School,Daviess,16,32,49,69,94,109
D580,Westside Catholic School,Vanderburgh,*,17,62,83,96,107
A430,White Creek Lutheran School,Bartholomew,#N/A,#N/A,#N/A,-,-,17
A375,Woodburn Lutheran School,Allen,*,26,60,83,75,82
