Corp. No.,Corporation Name,School No.,School Name,Voucher students from this district (2016-2017)
5380,Beech Grove City Schools,B297,The Oaks Academy - Brookside,
5380,Beech Grove City Schools,C561,Trinity Christian School,
395,Benton Community School Corporation,B009,Crossing Educational Center,
395,Benton Community School Corporation,D452,Faith Christian School,
395,Benton Community School Corporation,D440,Lafayette Christian School,
395,Benton Community School Corporation,A470,Sacred Heart School,45
395,Benton Community School Corporation,D435,Saint James Lutheran School,
395,Benton Community School Corporation,D430,Saint Mary Cathedral School,
515,Blackford County Schools,,,
3405,Blue River Valley Schools,A746,Heritage Hall Christian School,
3405,Blue River Valley Schools,A795,Saint Mary School,
5480,Bremen Public Schools,D305,Community Baptist Christian School,
5480,Bremen Public Schools,B605,Sacred Heart School,
5480,Bremen Public Schools,D275,Saint Jude Catholic School,
670,Brown County School Corporation,A450,Columbus Christian School Inc.,
670,Brown County School Corporation,C320,Roncalli High School,
670,Brown County School Corporation,A425,Saint Bartholomew School,
670,Brown County School Corporation,C400,Saint John Evangelical Lutheran School,
670,Brown County School Corporation,A435,Saint Peter Lutheran School,
670,Brown County School Corporation,B540,Saints Francis and Clare Catholic School,
670,Brown County School Corporation,C940,Tabernacle Christian Schools,12
3305,Brownsburg Community School Corporation,B290,Bethesda Christian School,37
3305,Brownsburg Community School Corporation,C705,Bishop Chatard High School,
3305,Brownsburg Community School Corporation,C360,Brebeuf Jesuit Preparatory School,
3305,Brownsburg Community School Corporation,C715,Cardinal Ritter High School,17
3305,Brownsburg Community School Corporation,C700,Cathedral High School,
3305,Brownsburg Community School Corporation,C527,Covenant Christian High School,22
3305,Brownsburg Community School Corporation,C475,Hasten Hebrew Academy Of Indianapolis,
3305,Brownsburg Community School Corporation,C590,Holy Angels Catholic School,
3305,Brownsburg Community School Corporation,C595,Holy Cross Central School,
3305,Brownsburg Community School Corporation,C545,Holy Name School,
3305,Brownsburg Community School Corporation,B295,Kingsway Christian School,19
3305,Brownsburg Community School Corporation,C270,Lutheran High School,
3305,Brownsburg Community School Corporation,C628,MTI School of Knowledge,
3305,Brownsburg Community School Corporation,C512,Our Shepherd Lutheran School,
3305,Brownsburg Community School Corporation,B285,Saint Malachy School,73
3305,Brownsburg Community School Corporation,C650,Saint Michael The Archangel School,
3305,Brownsburg Community School Corporation,C774,The Oaks Academy - Middle School,
3305,Brownsburg Community School Corporation,C375,Traders Point Christian Academy,38
3695,Brownstown Central Community School Corporation,B445,Immanuel Lutheran School,
3695,Brownstown Central Community School Corporation,B440,Saint Ambrose School,
3695,Brownstown Central Community School Corporation,B450,Saint John Lutheran School,
3695,Brownstown Central Community School Corporation,A435,Saint Peter Lutheran School,
3695,Brownstown Central Community School Corporation,B455,Seymour Christian Academy,
3695,Brownstown Central Community School Corporation,B452,Trinity Lutheran High School,
3060,Carmel Clay Schools,C705,Bishop Chatard High School,
3060,Carmel Clay Schools,C360,Brebeuf Jesuit Preparatory School,13
3060,Carmel Clay Schools,C715,Cardinal Ritter High School,
3060,Carmel Clay Schools,C700,Cathedral High School,
3060,Carmel Clay Schools,C495,Colonial Christian School,
3060,Carmel Clay Schools,B249,Guerin Catholic High School,11
3060,Carmel Clay Schools,C475,Hasten Hebrew Academy Of Indianapolis,
3060,Carmel Clay Schools,C275,Heritage Christian School,
3060,Carmel Clay Schools,B725,Howe School,
3060,Carmel Clay Schools,B190,Indiana Academy,
3060,Carmel Clay Schools,C455,Indianapolis Junior Academy,
3060,Carmel Clay Schools,C270,Lutheran High School,
3060,Carmel Clay Schools,C435,Saint Luke School,
3060,Carmel Clay Schools,C445,Saint Monica School,
3060,Carmel Clay Schools,C450,Saint Pius X School,
3060,Carmel Clay Schools,C773,The Oaks Academy,
3060,Carmel Clay Schools,B297,The Oaks Academy - Brookside,
3060,Carmel Clay Schools,C774,The Oaks Academy - Middle School,
3060,Carmel Clay Schools,C375,Traders Point Christian Academy,10
750,Carroll Consolidated School Corporation,B009,Crossing Educational Center,
750,Carroll Consolidated School Corporation,D452,Faith Christian School,
750,Carroll Consolidated School Corporation,B395,Saints Joan of Arc & Patrick School,
4205,Center Grove Community School Corporation,C705,Bishop Chatard High School,
4205,Center Grove Community School Corporation,C315,Calvary Lutheran School,
4205,Center Grove Community School Corporation,B009,Crossing Educational Center,
4205,Center Grove Community School Corporation,C966,Greenwood Christian Academy,45
4205,Center Grove Community School Corporation,C390,Holy Spirit School,
4205,Center Grove Community School Corporation,B190,Indiana Academy,
4205,Center Grove Community School Corporation,C965,Mooresville Christian Academy,
4205,Center Grove Community School Corporation,B535,Our Lady Of The Greenwood School,13
4205,Center Grove Community School Corporation,C320,Roncalli High School,23
4205,Center Grove Community School Corporation,C295,Saint Barnabas School,30
4205,Center Grove Community School Corporation,C280,Saint Lawrence School,
4205,Center Grove Community School Corporation,C305,Saint Mark School,
4205,Center Grove Community School Corporation,C310,Saint Roch School,
4205,Center Grove Community School Corporation,B540,Saints Francis and Clare Catholic School,45
4205,Center Grove Community School Corporation,C349,Southport Presbyterian Christian School,
4205,Center Grove Community School Corporation,C325,Suburban Christian School,22
4205,Center Grove Community School Corporation,C940,Tabernacle Christian Schools,
4205,Center Grove Community School Corporation,C773,The Oaks Academy,
8360,Centerville-Abington Community Schools,D862,Community Christian School,
8360,Centerville-Abington Community Schools,D860,Richmond Academy,
8360,Centerville-Abington Community Schools,D840,Saint Elizabeth Ann Seton School,16
8360,Centerville-Abington Community Schools,D842,Seton Catholic High School,
6055,Central Noble Community School Corporation,A120,Bishop Dwenger High School,
6055,Central Noble Community School Corporation,A740,Lakewood Park Christian School,
6055,Central Noble Community School Corporation,C985,Saint John Lutheran School,
6055,Central Noble Community School Corporation,A735,Saint Joseph School,
6055,Central Noble Community School Corporation,C980,Saint Mary Elementary School,11
4145,Clark-Pleasant Community School Corporation,C580,Calvary Christian School,
4145,Clark-Pleasant Community School Corporation,C315,Calvary Lutheran School,
4145,Clark-Pleasant Community School Corporation,C966,Greenwood Christian Academy,62
4145,Clark-Pleasant Community School Corporation,C270,Lutheran High School,
4145,Clark-Pleasant Community School Corporation,B535,Our Lady Of The Greenwood School,52
4145,Clark-Pleasant Community School Corporation,C320,Roncalli High School,13
4145,Clark-Pleasant Community School Corporation,C295,Saint Barnabas School,
4145,Clark-Pleasant Community School Corporation,C400,Saint John Evangelical Lutheran School,
4145,Clark-Pleasant Community School Corporation,C300,Saint Jude Elementary School,
4145,Clark-Pleasant Community School Corporation,C655,Saint Philip Neri School,
4145,Clark-Pleasant Community School Corporation,B518,Saint Rose of Lima School,
4145,Clark-Pleasant Community School Corporation,B540,Saints Francis and Clare Catholic School,
4145,Clark-Pleasant Community School Corporation,C325,Suburban Christian School,12
1000,Clarksville Community School Corporation,B045,Christian Academy of Indiana,
1000,Clarksville Community School Corporation,B050,Holy Family School,
1000,Clarksville Community School Corporation,B060,Our Lady Of Perpetual School,
1000,Clarksville Community School Corporation,A575,Our Lady Of Providence High School,14
1000,Clarksville Community School Corporation,A570,Sacred Heart School,
1000,Clarksville Community School Corporation,A560,Saint Anthony School,59
1000,Clarksville Community School Corporation,B280,Saint Joseph School,
1000,Clarksville Community School Corporation,B067,Saint Mary of-the-Knobs Catholic School,
1125,Clay Community Schools,B190,Indiana Academy,
1125,Clay Community Schools,D720,Saint Patrick School,
1150,Clinton Central School Corporation,D420,Saint Boniface School,
1150,Clinton Central School Corporation,C375,Traders Point Christian Academy,
1160,Clinton Prairie School Corporation,D415,Central Catholic Jr/Sr High School,
1160,Clinton Prairie School Corporation,B009,Crossing Educational Center,
1160,Clinton Prairie School Corporation,D452,Faith Christian School,
1160,Clinton Prairie School Corporation,D440,Lafayette Christian School,
6750,Cloverdale Community Schools,D720,Saint Patrick School,
1170,Community Schools of Frankfort,C360,Brebeuf Jesuit Preparatory School,
1170,Community Schools of Frankfort,B009,Crossing Educational Center,14
1170,Community Schools of Frankfort,D452,Faith Christian School,15
1170,Community Schools of Frankfort,B190,Indiana Academy,
2270,Concord Community Schools,B015,Bethany Christian School,
2270,Concord Community Schools,B009,Crossing Educational Center,
2270,Concord Community Schools,A990,Elkhart Christian Academy,34
2270,Concord Community Schools,D165,Marian High School,
2270,Concord Community Schools,A980,Saint Vincent DePaul School,18
2440,Covington Community School Corporation,B085,Covington Christian School,15
1900,Cowan Community School Corporation,A746,Heritage Hall Christian School,
1900,Cowan Community School Corporation,C175,Indiana Christian Academy,
1300,Crawford County Community School Corporation,B045,Christian Academy of Indiana,
5855,Crawfordsville Community Schools,B290,Bethesda Christian School,
5855,Crawfordsville Community Schools,D452,Faith Christian School,
3710,Crothersville Community Schools,D329,Grace Christian Academy,
3710,Crothersville Community Schools,B445,Immanuel Lutheran School,
3710,Crothersville Community Schools,B440,Saint Ambrose School,
3710,Crothersville Community Schools,B455,Seymour Christian Academy,
3710,Crothersville Community Schools,B452,Trinity Lutheran High School,
4660,Crown Point Community School Corporation,B760,Andrean High School,
4660,Crown Point Community School Corporation,B755,Aquinas School at Saint Andrew's,
4660,Crown Point Community School Corporation,B764,Avicenna Academy,
4660,Crown Point Community School Corporation,B970,Bishop Noll Institute,
4660,Crown Point Community School Corporation,B771,Crown Point Christian School,30
4660,Crown Point Community School Corporation,B470,DeMotte Christian School,
4660,Crown Point Community School Corporation,C020,Highland Christian School,
4660,Crown Point Community School Corporation,D080,Portage Christian School,
4660,Crown Point Community School Corporation,B780,Saint John Evangelist School,
4660,Crown Point Community School Corporation,B835,Saint Mary Catholic Community School,33
4660,Crown Point Community School Corporation,B850,Trinity Lutheran School,29
4660,Crown Point Community School Corporation,D073,Victory Christian Academy,
5455,Culver Community Schools Corporation,D270,Saint Joseph School,
5455,Culver Community Schools Corporation,D225,Saint Joseph's High School,
5455,Culver Community Schools Corporation,C855,Saint Michael School,
1940,Daleville Community Schools,C250,Anderson Christian School,
1940,Daleville Community Schools,A746,Heritage Hall Christian School,
1940,Daleville Community Schools,C211,Holy Cross School,
1940,Daleville Community Schools,C226,Liberty Christian Elementary,
1940,Daleville Community Schools,C225,Liberty Christian School,
3325,Danville Community School Corporation,B290,Bethesda Christian School,
3325,Danville Community School Corporation,C700,Cathedral High School,
3325,Danville Community School Corporation,C527,Covenant Christian High School,
3325,Danville Community School Corporation,C514,Crosspointe Christian Academy,
3325,Danville Community School Corporation,B295,Kingsway Christian School,
3325,Danville Community School Corporation,C965,Mooresville Christian Academy,
3325,Danville Community School Corporation,C512,Our Shepherd Lutheran School,
3325,Danville Community School Corporation,B300,Saint Susanna School,
1655,Decatur County Community Schools,A450,Columbus Christian School Inc.,
1655,Decatur County Community Schools,C514,Crosspointe Christian Academy,
1655,Decatur County Community Schools,A724,Good Shepherd Christian Academy,16
1655,Decatur County Community Schools,C282,Horizon Christian School,
1655,Decatur County Community Schools,D135,Oldenburg Academy,
1655,Decatur County Community Schools,A730,Saint Mary School,
1835,DeKalb County Central United School District,A120,Bishop Dwenger High School,
1835,DeKalb County Central United School District,A125,Bishop Luers High School,
1835,DeKalb County Central United School District,A172,Blackhawk Christian Elementary School,
1835,DeKalb County Central United School District,A249,Central Christian School,
1835,DeKalb County Central United School District,A740,Lakewood Park Christian School,96
1835,DeKalb County Central United School District,A145,Saint Charles Borromeo School,
1835,DeKalb County Central United School District,A735,Saint Joseph School,11
1835,DeKalb County Central United School District,C980,Saint Mary Elementary School,
1835,DeKalb County Central United School District,A180,Saint Vincent DePaul School,
1805,DeKalb County Eastern Com School District,A248,Ascension Lutheran School,
1805,DeKalb County Eastern Com School District,A740,Lakewood Park Christian School,23
1875,Delaware Community School Corporation,A746,Heritage Hall Christian School,
755,Delphi Community School Corporation,D415,Central Catholic Jr/Sr High School,
755,Delphi Community School Corporation,B009,Crossing Educational Center,
755,Delphi Community School Corporation,D452,Faith Christian School,11
755,Delphi Community School Corporation,D440,Lafayette Christian School,
755,Delphi Community School Corporation,D425,Saint Lawrence Elementary School,
755,Delphi Community School Corporation,D430,Saint Mary Cathedral School,
755,Delphi Community School Corporation,B395,Saints Joan of Arc & Patrick School,
6470,Duneland School Corporation,B760,Andrean High School,
6470,Duneland School Corporation,C125,Marquette Catholic High School,
6470,Duneland School Corporation,D065,Nativity of Our Savior School,
6470,Duneland School Corporation,D080,Portage Christian School,
6470,Duneland School Corporation,D050,Saint Patrick School,
6470,Duneland School Corporation,D085,Saint Paul Catholic School,
6470,Duneland School Corporation,D073,Victory Christian Academy,13
255,East Allen County Schools,A260,Aboite Christian School,
255,East Allen County Schools,A248,Ascension Lutheran School,11
255,East Allen County Schools,A120,Bishop Dwenger High School,35
255,East Allen County Schools,A125,Bishop Luers High School,59
255,East Allen County Schools,A172,Blackhawk Christian Elementary School,41
255,East Allen County Schools,A170,Blackhawk Christian Jr/Sr High School,16
255,East Allen County Schools,A249,Central Christian School,25
255,East Allen County Schools,A370,Central Lutheran School,141
255,East Allen County Schools,A205,Concordia Evangelical Lutheran School,33
255,East Allen County Schools,A195,Concordia Lutheran High School,52
255,East Allen County Schools,B009,Crossing Educational Center,
255,East Allen County Schools,A215,Emmanuel Saint Michael Lutheran School,
255,East Allen County Schools,A220,Emmaus Lutheran School,
255,East Allen County Schools,A225,Holy Cross Lutheran School,
255,East Allen County Schools,A307,Horizon Christian Academy III,48
255,East Allen County Schools,B190,Indiana Academy,
255,East Allen County Schools,A740,Lakewood Park Christian School,24
255,East Allen County Schools,A235,Lutheran South Unity School,21
255,East Allen County Schools,A130,Most Precious Blood School,
255,East Allen County Schools,A106,Our Lady School,17
255,East Allen County Schools,A270,Saint Aloysius Catholic School,
255,East Allen County Schools,A145,Saint Charles Borromeo School,25
255,East Allen County Schools,A355,Saint John The Baptist Catholic School,76
255,East Allen County Schools,A365,Saint John-Emmanuel Lutheran School,49
255,East Allen County Schools,A340,Saint Joseph Catholic School,47
255,East Allen County Schools,A350,Saint Joseph Hessen Cassel Catholic School,34
255,East Allen County Schools,A035,Saint Joseph School,
255,East Allen County Schools,A155,Saint Joseph-Saint Elizabeth Campus I,
255,East Allen County Schools,A104,Saint Joseph-Saint Elizabeth Campus II,
255,East Allen County Schools,A160,Saint Jude Elementary School,11
255,East Allen County Schools,A360,Saint Louis Besancon Catholic School,38
255,East Allen County Schools,A245,Saint Paul Lutheran School,17
255,East Allen County Schools,A040,Saint Peter Immanuel Lutheran School,
255,East Allen County Schools,A250,Saint Peter's Lutheran School,17
255,East Allen County Schools,A175,Saint Therese School,18
255,East Allen County Schools,A180,Saint Vincent DePaul School,27
255,East Allen County Schools,A200,Suburban Bethlehem Lutheran School,
255,East Allen County Schools,A375,Woodburn Lutheran School,79
2725,East Gibson School Corporation,D530,Mater Dei High School,
2725,East Gibson School Corporation,D610,Resurrection School,
2725,East Gibson School Corporation,B120,Saint James School,
2725,East Gibson School Corporation,B105,Saint Joseph School,
6060,East Noble School Corporation,A120,Bishop Dwenger High School,
6060,East Noble School Corporation,A195,Concordia Lutheran High School,
6060,East Noble School Corporation,A225,Holy Cross Lutheran School,
6060,East Noble School Corporation,A740,Lakewood Park Christian School,21
6060,East Noble School Corporation,A145,Saint Charles Borromeo School,
6060,East Noble School Corporation,C985,Saint John Lutheran School,72
6060,East Noble School Corporation,A735,Saint Joseph School,
6060,East Noble School Corporation,C980,Saint Mary Elementary School,35
6060,East Noble School Corporation,A200,Suburban Bethlehem Lutheran School,
6510,East Porter County School Corporation,A735,Saint Joseph School,
6510,East Porter County School Corporation,D085,Saint Paul Catholic School,
6510,East Porter County School Corporation,D073,Victory Christian Academy,16
8215,East Washington School Corporation,A575,Our Lady Of Providence High School,
2815,Eastbrook Community School Corporation,B009,Crossing Educational Center,
2815,Eastbrook Community School Corporation,B145,Lakeview Christian School,
2815,Eastbrook Community School Corporation,B155,Saint Paul Parish School,
2815,Eastbrook Community School Corporation,B136,The King's Academy,22
2940,Eastern Greene Schools,C905,Adventist Christian Elementary,
2940,Eastern Greene Schools,C933,Clear Creek Christian School,
2940,Eastern Greene Schools,B190,Indiana Academy,
2940,Eastern Greene Schools,C927,Lighthouse Christian Academy,12
3145,Eastern Hancock County Community School Corporation,C225,Liberty Christian School,
3145,Eastern Hancock County Community School Corporation,C265,Nativity School,
3145,Eastern Hancock County Community School Corporation,C320,Roncalli High School,
3145,Eastern Hancock County Community School Corporation,B265,Saint Michael School,
3145,Eastern Hancock County Community School Corporation,C650,Saint Michael The Archangel School,
3145,Eastern Hancock County Community School Corporation,C710,Scecina Memorial School,
3480,Eastern Howard School Corporation,B367,Redeemer Lutheran School,
6620,Eastern Pulaski Community School Corporation,B009,Crossing Educational Center,
4215,Edinburgh Community School Corporation,C940,Tabernacle Christian Schools,
2305,Elkhart Community Schools,B015,Bethany Christian School,14
2305,Elkhart Community Schools,D230,Christ The King School,
2305,Elkhart Community Schools,A875,Clinton Christian School,
2305,Elkhart Community Schools,D305,Community Baptist Christian School,
2305,Elkhart Community Schools,D189,Covenant Christian School,
2305,Elkhart Community Schools,B009,Crossing Educational Center,
2305,Elkhart Community Schools,A990,Elkhart Christian Academy,97
2305,Elkhart Community Schools,D310,Granger Christian School,
2305,Elkhart Community Schools,D165,Marian High School,23
2305,Elkhart Community Schools,D315,Michiana Christian School,
2305,Elkhart Community Schools,D177,Mishawaka Catholic School,
2305,Elkhart Community Schools,D198,Queen of Peace School,12
2305,Elkhart Community Schools,D225,Saint Joseph's High School,
2305,Elkhart Community Schools,D164,Saint Pius X Catholic School,
2305,Elkhart Community Schools,A975,Saint Thomas The Apostle School,84
2305,Elkhart Community Schools,A980,Saint Vincent DePaul School,120
2305,Elkhart Community Schools,D217,Trinity School At Greenlawn,
5280,Elwood Community School Corporation,B249,Guerin Catholic High School,
5280,Elwood Community School Corporation,C175,Indiana Christian Academy,
5280,Elwood Community School Corporation,C190,Saint Mary School,
5910,Eminence Community School Corporation,C965,Mooresville Christian Academy,
7995,Evansville Vanderburgh School Corporation,D545,Christ The King School,44
7995,Evansville Vanderburgh School Corporation,D550,Corpus Christi School,46
7995,Evansville Vanderburgh School Corporation,D485,Evansville Christian School,250
7995,Evansville Vanderburgh School Corporation,D525,Evansville Day School,31
7995,Evansville Vanderburgh School Corporation,D625,Evansville Lutheran School,104
7995,Evansville Vanderburgh School Corporation,D555,Good Shepherd School,84
7995,Evansville Vanderburgh School Corporation,D560,Holy Redeemer School,102
7995,Evansville Vanderburgh School Corporation,D565,Holy Rosary School,117
7995,Evansville Vanderburgh School Corporation,D570,Holy Spirit School,123
7995,Evansville Vanderburgh School Corporation,B190,Indiana Academy,
7995,Evansville Vanderburgh School Corporation,D530,Mater Dei High School,123
7995,Evansville Vanderburgh School Corporation,D535,Reitz Memorial High School,167
7995,Evansville Vanderburgh School Corporation,D610,Resurrection School,77
7995,Evansville Vanderburgh School Corporation,D590,Saint Benedict Cathedral School,78
7995,Evansville Vanderburgh School Corporation,B120,Saint James School,24
7995,Evansville Vanderburgh School Corporation,D815,Saint John The Baptist School,19
7995,Evansville Vanderburgh School Corporation,D605,Saint Joseph School,36
7995,Evansville Vanderburgh School Corporation,D100,Saint Philip School,11
7995,Evansville Vanderburgh School Corporation,D105,Saint Wendel School,13
7995,Evansville Vanderburgh School Corporation,D580,Westside Catholic School,104
2155,Fairfield Community Schools,B015,Bethany Christian School,11
2155,Fairfield Community Schools,A875,Clinton Christian School,21
2155,Fairfield Community Schools,B020,Saint John Evangelist School,
2395,Fayette County School Corporation,B035,Saint Gabriel Parochial School,76
2395,Fayette County School Corporation,D140,Saint Mary Elementary School,
2395,Fayette County School Corporation,D842,Seton Catholic High School,
370,Flat Rock-Hawcreek School Corporation,A450,Columbus Christian School Inc.,14
370,Flat Rock-Hawcreek School Corporation,A425,Saint Bartholomew School,
370,Flat Rock-Hawcreek School Corporation,A435,Saint Peter Lutheran School,
235,Fort Wayne Community Schools,A260,Aboite Christian School,27
235,Fort Wayne Community Schools,A248,Ascension Lutheran School,62
235,Fort Wayne Community Schools,A120,Bishop Dwenger High School,352
235,Fort Wayne Community Schools,A125,Bishop Luers High School,290
235,Fort Wayne Community Schools,A172,Blackhawk Christian Elementary School,194
235,Fort Wayne Community Schools,A170,Blackhawk Christian Jr/Sr High School,129
235,Fort Wayne Community Schools,A249,Central Christian School,65
235,Fort Wayne Community Schools,A370,Central Lutheran School,16
235,Fort Wayne Community Schools,A205,Concordia Evangelical Lutheran School,202
235,Fort Wayne Community Schools,A195,Concordia Lutheran High School,313
235,Fort Wayne Community Schools,A236,Cornerstone College Preparatory School,121
235,Fort Wayne Community Schools,B009,Crossing Educational Center,58
235,Fort Wayne Community Schools,A275,Crossroad Academy,12
235,Fort Wayne Community Schools,A215,Emmanuel Saint Michael Lutheran School,119
235,Fort Wayne Community Schools,A220,Emmaus Lutheran School,51
235,Fort Wayne Community Schools,A225,Holy Cross Lutheran School,176
235,Fort Wayne Community Schools,A307,Horizon Christian Academy III,380
235,Fort Wayne Community Schools,B190,Indiana Academy,11
235,Fort Wayne Community Schools,A740,Lakewood Park Christian School,35
235,Fort Wayne Community Schools,A235,Lutheran South Unity School,43
235,Fort Wayne Community Schools,A130,Most Precious Blood School,153
235,Fort Wayne Community Schools,C628,MTI School of Knowledge,
235,Fort Wayne Community Schools,A106,Our Lady School,79
235,Fort Wayne Community Schools,A135,Queen Of Angels School,126
235,Fort Wayne Community Schools,A270,Saint Aloysius Catholic School,24
235,Fort Wayne Community Schools,A145,Saint Charles Borromeo School,346
235,Fort Wayne Community Schools,A355,Saint John The Baptist Catholic School,56
235,Fort Wayne Community Schools,A150,Saint John The Baptist School,158
235,Fort Wayne Community Schools,A365,Saint John-Emmanuel Lutheran School,
235,Fort Wayne Community Schools,A350,Saint Joseph Hessen Cassel Catholic School,19
235,Fort Wayne Community Schools,A155,Saint Joseph-Saint Elizabeth Campus I,136
235,Fort Wayne Community Schools,A104,Saint Joseph-Saint Elizabeth Campus II,62
235,Fort Wayne Community Schools,A160,Saint Jude Elementary School,284
235,Fort Wayne Community Schools,A360,Saint Louis Besancon Catholic School,25
235,Fort Wayne Community Schools,A245,Saint Paul Lutheran School,101
235,Fort Wayne Community Schools,A250,Saint Peter's Lutheran School,96
235,Fort Wayne Community Schools,A175,Saint Therese School,131
235,Fort Wayne Community Schools,A180,Saint Vincent DePaul School,155
235,Fort Wayne Community Schools,A200,Suburban Bethlehem Lutheran School,61
235,Fort Wayne Community Schools,D907,TROY Center,
235,Fort Wayne Community Schools,A375,Woodburn Lutheran School,
4225,Franklin Community School Corporation,C580,Calvary Christian School,
4225,Franklin Community School Corporation,C966,Greenwood Christian Academy,14
4225,Franklin Community School Corporation,C965,Mooresville Christian Academy,
4225,Franklin Community School Corporation,B535,Our Lady Of The Greenwood School,
4225,Franklin Community School Corporation,C320,Roncalli High School,
4225,Franklin Community School Corporation,C295,Saint Barnabas School,
4225,Franklin Community School Corporation,A435,Saint Peter Lutheran School,
4225,Franklin Community School Corporation,B518,Saint Rose of Lima School,83
4225,Franklin Community School Corporation,B540,Saints Francis and Clare Catholic School,
4225,Franklin Community School Corporation,C325,Suburban Christian School,
